,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.47929411499999997,0.6914893617021277,0.5949667616334283,0.7321838958728276,0.5477020076323212,0.5384615384615385
top10_max_f1,0.47929411499999997,0.6914893617021277,0.5949667616334283,0.7321838958728276,0.5477020076323212,0.5384615384615385
avg_youdens_j,0.06778394602666821,0.8191489361702128,0.6367521367521367,0.8219363806782863,0.6323901541292846,0.6020892687559354
avg_max_f1,0.06778394602666821,0.8191489361702128,0.6367521367521367,0.8219363806782863,0.6323901541292846,0.6020892687559354
max_youdens_j,0.73512995,0.6382978723404256,0.5963912630579298,0.6927684903748733,0.5244047619047619,0.54320987654321
max_max_f1,0.73512995,0.6382978723404256,0.5963912630579298,0.6927684903748733,0.5244047619047619,0.54320987654321
majority_youdens_j,0.025423728813559324,0.776595744680851,0.6120607787274454,0.7910548242833849,0.5944113416889254,0.5735992402659069
majority_max_f1,0.025423728813559324,0.776595744680851,0.6120607787274454,0.7910548242833849,0.5944113416889254,0.5735992402659069
