,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.9137563419999999,0.8018018018018018,0.7425824175824176,0.8137620378999689,0.7076149425287357,0.7543956043956044
top10_max_f1,0.9137563419999999,0.8018018018018018,0.7425824175824176,0.8137620378999689,0.7076149425287357,0.7543956043956044
avg_youdens_j,0.09575110487515355,0.7477477477477478,0.7096153846153846,0.7699366032699367,0.6574074074074074,0.7626373626373627
avg_max_f1,0.09575110487515355,0.7477477477477478,0.7096153846153846,0.7699366032699367,0.6574074074074074,0.7626373626373627
max_youdens_j,0.99198496,0.7657657657657657,0.701098901098901,0.7823800544730777,0.6644186046511628,0.7335164835164835
max_max_f1,0.99198496,0.7657657657657657,0.701098901098901,0.7823800544730777,0.6644186046511628,0.7335164835164835
majority_youdens_j,0.016666666666666666,0.6396396396396397,0.7412087912087912,0.6805601564073085,0.5998558038932948,0.7711538461538461
majority_max_f1,0.07207207207207207,0.7837837837837838,0.712087912087912,0.7968313140726933,0.6810344827586207,0.7711538461538461
