,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.54764616,0.7,0.6640141467727675,0.7457368718238284,0.5765104460756635,0.6808134394341292
top10_max_f1,0.8703216509999999,0.87,0.6635720601237842,0.8626234340456891,0.6806681405060182,0.6808134394341292
avg_youdens_j,0.11827188019735464,0.77,0.6715296198054819,0.7964284529928701,0.6186370419499254,0.6401414677276747
avg_max_f1,0.362931903870303,0.91,0.6538461538461539,0.8883895853423337,0.7107039537126325,0.6401414677276747
max_youdens_j,0.90445465,0.8,0.6560565870910698,0.8151785714285714,0.6279761904761905,0.6834659593280283
max_max_f1,0.9493893,0.84,0.6463306808134395,0.84,0.6463306808134395,0.6834659593280283
majority_youdens_j,0.06743185078909612,0.88,0.6693191865605659,0.8704392236976506,0.6935648621041879,0.6702033598585323
majority_max_f1,0.3460490463215259,0.91,0.6538461538461539,0.8883895853423337,0.7107039537126325,0.6702033598585323
