,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.8863575919999999,0.81,0.7509803921568627,0.8266125179168659,0.6974040452301322,0.7937254901960784
top10_max_f1,0.985738141,0.89,0.6882352941176471,0.8754360108081553,0.7297961188897077,0.7937254901960784
avg_youdens_j,0.07634726593929377,0.85,0.8019607843137255,0.8609683302934836,0.751285027358647,0.8329411764705882
avg_max_f1,0.07634726593929377,0.85,0.8019607843137255,0.8609683302934836,0.751285027358647,0.8329411764705882
max_youdens_j,0.8955864,0.7,0.7686274509803921,0.7425595238095236,0.6279761904761905,0.7662745098039216
max_max_f1,0.8955864,0.7,0.7686274509803921,0.7425595238095236,0.6279761904761905,0.7662745098039216
majority_youdens_j,0.009900990099009901,0.71,0.8019607843137255,0.7513065881486933,0.6442154336891179,0.8427450980392157
majority_max_f1,0.06201550387596899,0.85,0.8019607843137255,0.8609683302934836,0.751285027358647,0.8427450980392157
