,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.1395761614,0.5495495495495496,0.6862637362637363,0.5938397357686003,0.5254787961696307,0.7357142857142858
top10_max_f1,0.8222881829999998,0.8108108108108109,0.670054945054945,0.8089022187382843,0.6733921815889029,0.7357142857142858
avg_youdens_j,0.010070179642290376,0.7027027027027027,0.7406593406593407,0.7362050928929911,0.6410583047525723,0.7631868131868131
avg_max_f1,0.016528766419084837,0.7657657657657657,0.7401098901098901,0.7863697030363697,0.6818783068783069,0.7631868131868131
max_youdens_j,0.6930451,0.6666666666666666,0.7576923076923077,0.705096380742239,0.6224142686402501,0.7681318681318681
max_max_f1,0.6930451,0.6666666666666666,0.7576923076923077,0.705096380742239,0.6224142686402501,0.7681318681318681
majority_youdens_j,0.001081665765278529,0.6306306306306306,0.7357142857142858,0.6722487825936102,0.5923869234214062,0.7736263736263735
majority_max_f1,0.016666666666666666,0.7927927927927928,0.698076923076923,0.801377648835276,0.6794726930320151,0.7736263736263735
