,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.8141484959999999,0.58,0.7259062776304156,0.6445861601085481,0.525101763907734,0.7824933687002653
top10_max_f1,0.9999773980000001,0.91,0.6865605658709107,0.8951613841232916,0.7382960162838035,0.7824933687002653
avg_youdens_j,0.17184780658574955,0.76,0.6984969053934571,0.7915000000000001,0.625,0.6843501326259946
avg_max_f1,0.4753603409591008,0.9,0.6808134394341291,0.8866666666666667,0.7222222222222222,0.6843501326259946
max_youdens_j,0.9593311,0.54,0.735632183908046,0.6042881944444445,0.5008680555555556,0.7736516357206012
max_max_f1,0.99992895,0.86,0.7232537577365163,0.8641860465116278,0.7093023255813953,0.7736516357206012
majority_youdens_j,0.1694736842105263,0.85,0.7175066312997347,0.856442831215971,0.6975196612220206,0.726790450928382
majority_max_f1,0.42779291553133514,0.9,0.6808134394341291,0.8866666666666667,0.7222222222222222,0.726790450928382
