,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.999222988,0.8191489361702128,0.6044634377967711,0.8160866727581255,0.6078527607361963,0.5261158594491928
top10_max_f1,0.999222988,0.8191489361702128,0.6044634377967711,0.8160866727581255,0.6078527607361963,0.5261158594491928
avg_youdens_j,0.03465894519309043,0.3723404255319149,0.6358024691358024,0.4104086418702991,0.366533409480297,0.6324786324786326
avg_max_f1,0.12481031532429727,0.574468085106383,0.6239316239316239,0.639483040803657,0.5013262599469496,0.6324786324786326
max_youdens_j,0.9999994,0.8297872340425532,0.5783475783475783,0.8163641024445947,0.588170865279299,0.4981006647673314
max_max_f1,0.9999994,0.8297872340425532,0.5783475783475783,0.8163641024445947,0.588170865279299,0.4981006647673314
majority_youdens_j,0.04225352112676056,0.5106382978723404,0.6514719848053181,0.5761264080100125,0.47009803921568627,0.6068376068376069
majority_max_f1,0.04225352112676056,0.5106382978723404,0.6514719848053181,0.5761264080100125,0.47009803921568627,0.6068376068376069
