,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.943827662,0.92,0.788235294117647,0.9147656940760389,0.8231653404067196,0.7976470588235294
top10_max_f1,0.943827662,0.92,0.788235294117647,0.9147656940760389,0.8231653404067196,0.7976470588235294
avg_youdens_j,0.20632571832823626,0.75,0.7431372549019608,0.781323877068558,0.6523432067862607,0.7898039215686274
avg_max_f1,0.35376991522449214,0.9,0.7215686274509804,0.8892045454545454,0.7632575757575758,0.7898039215686274
max_youdens_j,0.9766912,0.9,0.803921568627451,0.9,0.803921568627451,0.8149019607843138
max_max_f1,0.9766912,0.9,0.803921568627451,0.9,0.803921568627451,0.8149019607843138
majority_youdens_j,0.1111111111111111,0.81,0.7509803921568627,0.8266125179168659,0.6974040452301322,0.8086274509803921
majority_max_f1,0.31007751937984496,0.9,0.6941176470588235,0.8840653728294179,0.7446373850868233,0.8086274509803921
