,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.9574848560000001,0.86,0.6905393457117595,0.86,0.6905393457117595,0.7347480106100795
top10_max_f1,0.9574848560000001,0.86,0.6905393457117595,0.86,0.6905393457117595,0.7347480106100795
avg_youdens_j,0.10068641963839124,0.88,0.7020335985853228,0.8756818181818181,0.7159090909090908,0.6710875331564987
avg_max_f1,0.28740744534205664,0.91,0.6865605658709107,0.8951613841232916,0.7382960162838035,0.6710875331564987
max_youdens_j,0.91220844,0.66,0.7064544650751547,0.7155454084221207,0.5687468290208015,0.7586206896551724
max_max_f1,0.99550277,0.89,0.6750663129973475,0.878441074753924,0.7073689811119979,0.7586206896551724
majority_youdens_j,0.06764168190127971,0.87,0.6962864721485411,0.8677714285714285,0.7028571428571428,0.7020335985853228
majority_max_f1,0.28766140602582496,0.91,0.6865605658709107,0.8951613841232916,0.7382960162838035,0.7020335985853228
