,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.890529584,0.648936170212766,0.6025641025641025,0.7012222725215029,0.5319148936170213,0.5555555555555556
top10_max_f1,0.890529584,0.648936170212766,0.6025641025641025,0.7012222725215029,0.5319148936170213,0.5555555555555556
avg_youdens_j,0.1051005374763108,0.4574468085106383,0.6528964862298196,0.5170476369798531,0.4343362831858407,0.647673314339981
avg_max_f1,0.4251947515508475,0.8617021276595744,0.6291547958214625,0.8473084226683412,0.6515540347875677,0.647673314339981
max_youdens_j,0.9715156,0.6382978723404256,0.5963912630579298,0.6927684903748733,0.5244047619047619,0.5498575498575499
max_max_f1,0.9715156,0.6382978723404256,0.5963912630579298,0.6927684903748733,0.5244047619047619,0.5498575498575499
majority_youdens_j,0.06776379477250725,0.6276595744680851,0.654795821462488,0.6852669610598153,0.5401816911250873,0.6210826210826211
majority_max_f1,0.3898305084745763,0.8617021276595744,0.6291547958214625,0.8473084226683412,0.6515540347875677,0.6210826210826211
