,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.688318675,0.6396396396396397,0.7217032967032967,0.6810323837350865,0.5945945945945946,0.760989010989011
top10_max_f1,0.9538062540000001,0.8378378378378378,0.6670329670329671,0.8261171058417617,0.687421777221527,0.760989010989011
avg_youdens_j,0.2189591837591623,0.7027027027027027,0.7211538461538461,0.7354686222610751,0.6343216531895777,0.7923076923076923
avg_max_f1,0.38983472119555035,0.8828828828828829,0.6945054945054945,0.8640085502690471,0.7421833124888333,0.7923076923076923
max_youdens_j,0.98015755,0.8378378378378378,0.7450549450549451,0.8407979407979409,0.7357142857142858,0.7763736263736263
max_max_f1,0.98015755,0.8378378378378378,0.7450549450549451,0.8407979407979409,0.7357142857142858,0.7763736263736263
majority_youdens_j,0.31321619556913677,0.8918918918918919,0.7195054945054945,0.8766891891891891,0.76875,0.7711538461538462
majority_max_f1,0.31321619556913677,0.8918918918918919,0.7195054945054945,0.8766891891891891,0.76875,0.7711538461538462
