,threshold,accuracy,balanced_accuracy,weighted_f1,macro_f1,roc_auc
top10_youdens_j,0.9938635770000002,0.85,0.692156862745098,0.8478523895946763,0.6975196612220206,0.6603921568627451
top10_max_f1,0.9938635770000002,0.85,0.692156862745098,0.8478523895946763,0.6975196612220206,0.6603921568627451
avg_youdens_j,0.2832106819887404,0.79,0.6843137254901961,0.8053556624108771,0.6517990383021057,0.6658823529411765
avg_max_f1,0.2832106819887404,0.79,0.6843137254901961,0.8053556624108771,0.6517990383021057,0.6658823529411765
max_youdens_j,0.99883956,0.85,0.7196078431372549,0.8519755678564613,0.7136858179041802,0.7129411764705882
max_max_f1,0.9998037,0.89,0.6882352941176471,0.8754360108081553,0.7297961188897077,0.7129411764705882
majority_youdens_j,0.10744264129826525,0.68,0.6745098039215687,0.7239085239085239,0.5841995841995842,0.6537254901960785
majority_max_f1,0.20736434108527133,0.78,0.6509803921568628,0.7943089430894308,0.6273712737127372,0.6537254901960785
